Equipo,Puntos,Peso,Valor_Mercado_Millones_Eur,Tipo_Equipo,Fecha,Resultado_1X2,avg_Goles_esperados_(xG)_total,avg_Posesión_total,avg_Remates_a_puerta_total,avg_Córneres_total,avg_Tarjetas_amarillas_total,avg_Faltas_total,avg_Paradas_total,avg_Pases_Pct_total,avg_Pases_Exitosos_total,avg_Goles_total,avg_Ptos_total,avg_xG_Share_total,avg_Remates_Puerta_Share_total,avg_Corneres_Share_total,avg_Paradas_Share_total,avg_Pases_Exitosos_Share_total,avg_Goles_Share_total,avg_Puntos_Share_total,avg_Valor_Mercado_Millones_Eur_Share_total,avg_Puntos_total,avg_Goles_esperados_(xG)_3,avg_Posesión_3,avg_Remates_a_puerta_3,avg_Córneres_3,avg_Tarjetas_amarillas_3,avg_Faltas_3,avg_Paradas_3,avg_Pases_Pct_3,avg_Pases_Exitosos_3,avg_Goles_3,avg_Ptos_3,avg_xG_Share_3,avg_Remates_Puerta_Share_3,avg_Corneres_Share_3,avg_Paradas_Share_3,avg_Pases_Exitosos_Share_3,avg_Goles_Share_3,avg_Puntos_Share_3,avg_Valor_Mercado_Millones_Eur_Share_3,avg_Puntos_3
Haití,1291.71,0.75,2.15,Local,2026-06-14,2,1.1455555555555554,0.49,4.416666666666667,5.0,2.1818181818181817,14.333333333333334,3.8,0.7933333333333333,280.77777777777777,1.0833333333333333,1.3333333333333333,0.48254429517279834,0.5356589073694337,0.5335722148222148,0.5150793650793651,0.487028183313615,0.5277777777777778,0.4895077410967745,0.6607110525911918,1278.8775,1.65,0.48666666666666664,3.0,3.6666666666666665,3.0,20.0,3.0,0.85,336.0,1.0,1.3333333333333333,0.6016260162601627,0.5738095238095239,0.7095238095238096,0.5833333333333334,0.5086071987480438,0.5,0.497069922048005,0.5790116666370674,1285.7666666666667
Alemania,1730.37,1.0,36.42,Local,2026-06-14,2,2.3091304347826087,0.6504761904761904,6.833333333333333,6.285714285714286,1.8205128205128205,10.714285714285714,2.0952380952380953,0.8926190476190476,604.452380952381,2.619047619047619,2.0952380952380953,0.6164611983570057,0.67967858860716,0.6525318246956903,0.3187445491016919,0.6983681402521962,0.6905328798185941,0.5288436017069804,0.7918096386664097,1664.8088095238095,3.183333333333333,0.65,8.333333333333334,9.0,1.0,10.333333333333334,0.6666666666666666,0.9100000000000001,640.0,4.0,3.0,0.8554950337343618,0.8134920634920636,0.8065268065268066,0.1111111111111111,0.6672889386490645,0.746031746031746,0.5356338149503624,0.82745518461904,1720.5333333333335
Países Bajos,1757.87,1.0,29.01,Local,2026-06-14,2,1.830909090909091,0.5872727272727272,5.818181818181818,5.945454545454545,1.4528301886792452,11.781818181818181,2.109090909090909,0.8827272727272727,513.9454545454546,2.4545454545454546,2.0727272727272728,0.5708639769017422,0.6308628240446421,0.6260852753900883,0.40839105339105336,0.6209534107038194,0.7082683982683983,0.5435451085127011,0.7319138759922102,1708.9767272727272,1.7866666666666668,0.4833333333333334,4.666666666666667,5.0,0.0,9.0,1.3333333333333333,0.8099999999999999,353.0,2.3333333333333335,2.3333333333333335,0.5382939231375258,0.6177248677248678,0.5305555555555556,0.37222222222222223,0.47974453480946827,0.7222222222222222,0.5601168482419628,0.736381813099409,1757.5
Japón,1660.43,0.7,10.42,Visitante,2026-06-14,2,1.8960000000000001,0.61175,6.325,6.225,1.0909090909090908,12.894736842105264,1.5,0.7997368421052632,459.57894736842104,2.875,2.35,0.6018452437989991,0.7282205988455989,0.7322286741036741,0.30066468253968254,0.6170262303065431,0.7554166666666667,0.5457842063470675,0.852259494236297,1583.5994999999998,2.2333333333333334,0.5199999999999999,6.333333333333333,5.666666666666667,2.0,11.666666666666666,2.0,0.8633333333333333,457.6666666666667,2.6666666666666665,3.0,0.6999519454580949,0.6777777777777777,0.6035353535353535,0.36111111111111116,0.5308204079015715,1.0,0.5291552294664735,0.5682991877490932,1650.9599999999998
Escocia,1498.35,1.0,6.55,Visitante,2026-06-14,2,1.0896296296296295,0.48772727272727273,3.909090909090909,4.954545454545454,1.8095238095238095,11.090909090909092,2.8181818181818183,0.8272727272727273,386.3636363636364,1.5681818181818181,1.75,0.4685727462201566,0.49610648190193646,0.557421529747733,0.5578192640692641,0.48309759892031345,0.5992424242424242,0.5057956492828409,0.47849794790819455,1473.7920454545454,1.1900000000000002,0.4099999999999999,4.0,4.0,0.5,10.333333333333334,3.3333333333333335,0.8166666666666665,344.3333333333333,1.3333333333333333,1.0,0.35142159368985504,0.4988095238095238,0.34595959595959597,0.6388888888888888,0.38609151063110553,0.22222222222222224,0.4843173920138442,0.3080294386773438,1505.9133333333332
Curazao,1294.65,0.75,0.991,Visitante,2026-06-14,2,1.221111111111111,0.537,4.9,4.2,1.9,13.6,2.5,0.7733333333333333,301.22222222222223,1.5,1.5,0.5176660595200946,0.5613224275724276,0.49471528471528475,0.4525396825396825,0.5398102337718576,0.5933333333333334,0.509375361521892,0.7473325583398929,1281.066,1.7833333333333334,0.5233333333333333,7.0,4.666666666666667,2.0,14.0,2.3333333333333335,0.75,274.3333333333333,2.6666666666666665,1.6666666666666667,0.572903160617406,0.6378968253968254,0.5212121212121211,0.43703703703703695,0.5301221631348993,0.6666666666666666,0.5229855038005807,0.8732693230309163,1291.1533333333334
Marruecos,1755.87,0.6,17.22,Visitante,2026-06-14,2,1.63,0.5563157894736842,5.026315789473684,4.631578947368421,1.368421052631579,13.71875,1.6756756756756757,0.8772727272727273,427.27272727272725,2.4594594594594597,2.4473684210526314,0.5554303056293809,0.7207315345473241,0.6081452517211031,0.3698099415204678,0.526450181937676,0.8087719298245615,0.551344439461557,0.8059276940943164,1629.1057894736841,1.5499999999999998,0.5499999999999999,3.6666666666666665,4.333333333333333,2.0,13.333333333333334,4.333333333333333,0.8599999999999999,434.3333333333333,1.5,1.3333333333333333,0.6151141469318199,0.4424242424242424,0.49074074074074076,0.561111111111111,0.5620758678611423,0.5555555555555555,0.5225777815649054,0.5921557839934932,1728.7533333333333
Turquía,1599.04,1.0,18.22,Visitante,2026-06-14,2,1.6455172413793102,0.5619565217391305,5.891304347826087,5.586956521739131,2.7777777777777777,10.934782608695652,2.369565217391304,0.8482608695652175,431.30434782608694,2.217391304347826,2.0869565217391304,0.5528341879241158,0.6308191379558656,0.5819584702736876,0.4063966830271178,0.5965178310880659,0.6648550724637682,0.5241377684991815,0.746581631027505,1505.3084782608696,1.4366666666666665,0.5066666666666667,4.0,4.666666666666667,4.0,8.333333333333334,2.6666666666666665,0.84,376.0,1.3333333333333333,2.3333333333333335,0.5743464142697968,0.6791666666666667,0.4944444444444444,0.40404040404040414,0.531612873621655,0.8333333333333331,0.5071765607830798,0.6445183241765321,1578.5199999999998
Brasil,1761.16,0.95,35.7,Local,2026-06-14,2,1.8181818181818181,0.5689655172413793,6.0344827586206895,4.896551724137931,2.0714285714285716,12.724137931034482,2.413793103448276,0.8141379310344827,428.55172413793105,1.7241379310344827,2.1379310344827585,0.549620870169121,0.6861649365959711,0.5600612031646515,0.34326391998805794,0.5803770478631065,0.7206896551724138,0.5364533379478776,0.8003224941971654,1784.9879310344827,1.506666666666667,0.49666666666666665,4.666666666666667,3.6666666666666665,2.3333333333333335,11.0,4.0,0.8833333333333333,383.3333333333333,1.3333333333333333,1.0,0.4860445180793902,0.5007326007326007,0.5529100529100529,0.44444444444444436,0.4972031943785127,0.3611111111111111,0.5219506411851577,0.6885993742515368,1766.2033333333331
Australia,1580.67,0.7,2.98,Local,2026-06-14,2,1.8915384615384616,0.531219512195122,4.512195121951219,5.0,1.5,10.829268292682928,2.048780487804878,0.7556410256410256,379.7692307692308,1.951219512195122,2.073170731707317,0.5599105111559991,0.6165663604687995,0.6346403934818569,0.4717347692957449,0.5272770295622811,0.7162601626016261,0.5367188892502136,0.7018830077270248,1510.3209756097563,0.7966666666666667,0.37333333333333335,2.6666666666666665,3.0,0.5,7.0,2.3333333333333335,0.7733333333333334,267.6666666666667,1.6666666666666667,3.0,0.4097133697549131,0.5833333333333334,0.337037037037037,0.7222222222222223,0.34929732225872595,0.8888888888888888,0.5189744659691221,0.5742430930445529,1551.0833333333333
Ecuador,1594.78,0.95,14.18,Visitante,2026-06-15,2,1.229090909090909,0.5171428571428571,3.4642857142857144,4.357142857142857,1.9230769230769231,14.214285714285714,2.3214285714285716,0.7567857142857143,306.67857142857144,1.0,1.3214285714285714,0.516087094846483,0.5671343537414966,0.5383754142682714,0.43822278911564627,0.5178354804724787,0.5535714285714286,0.4815231471301043,0.6355457313388256,1478.142142857143,1.2533333333333336,0.5366666666666666,3.0,4.333333333333333,2.0,15.333333333333334,1.0,0.87,418.0,1.0,1.6666666666666667,0.6640597910546977,0.7166666666666667,0.45555555555555555,0.3333333333333333,0.5450701546991307,0.6666666666666666,0.4693807237828988,0.3644495102676984,1584.7133333333334
Cabo Verde,1366.13,0.6,2.1,Visitante,2026-06-15,2,,0.5438888888888889,3.111111111111111,5.888888888888889,1.3529411764705883,13.8,3.0625,0.8333333333333334,418.5,1.1666666666666667,1.5555555555555556,0.5,0.4865800865800865,0.5490515657182323,0.6236772486772487,0.5332636168364294,0.5666666666666667,0.5272420081295206,0.6303411069954851,1350.26,,0.5533333333333333,5.0,4.666666666666667,1.6666666666666667,12.0,2.0,,,2.3333333333333335,2.3333333333333335,0.5,0.7222222222222222,0.5172558922558923,0.4666666666666666,0.5,0.8333333333333334,0.5295263330979433,0.6596341434401715,1356.7
Egipto,1563.24,0.6,4.48,Visitante,2026-06-15,2,0.944,0.5302941176470588,4.852941176470588,4.235294117647059,1.9090909090909092,12.357142857142858,2.1875,0.8325,415.875,1.6176470588235294,2.235294117647059,0.5049533277842744,0.6511340783399606,0.48758313485822136,0.41929059502588917,0.5214790007047202,0.7529411764705882,0.5443019014745403,0.6886357021048813,1503.594705882353,0.8300000000000001,0.44,4.333333333333333,2.0,2.0,11.666666666666666,2.3333333333333335,0.8566666666666666,364.3333333333333,1.6666666666666667,2.3333333333333335,0.4990981926694926,0.6476190476190476,0.21818181818181817,0.36904761904761907,0.43959314387350784,0.8333333333333334,0.4935777148899372,0.40246449412646074,1558.8866666666665
Bélgica,1734.71,1.0,21.06,Local,2026-06-15,2,1.8663333333333334,0.608936170212766,5.9787234042553195,7.0212765957446805,1.565217391304348,9.76595744680851,2.3191489361702127,0.8763829787234042,517.5106382978723,2.25531914893617,1.851063829787234,0.5861125866697124,0.6424200330332996,0.673863440133778,0.36508397040311935,0.6419360766378445,0.6132725430597771,0.5532781199482257,0.7488460619200787,1778.793829787234,1.8999999999999997,0.6033333333333334,8.333333333333334,7.666666666666667,1.0,13.0,2.0,0.8766666666666666,503.6666666666667,4.333333333333333,2.3333333333333335,0.6228126408312346,0.665079365079365,0.6333333333333333,0.40277777777777773,0.6202826632593182,0.738095238095238,0.5665752476537521,0.7753554206789306,1733.8100000000002
España,1876.4,1.0,47.03,Local,2026-06-15,2,2.253823529411765,0.6541509433962265,6.169811320754717,6.056603773584905,1.6938775510204083,11.584905660377359,1.849056603773585,0.9030188679245283,651.433962264151,2.2830188679245285,2.2830188679245285,0.6499824438512687,0.6889820701557661,0.6777696098450815,0.34140801546461924,0.6985232177777051,0.7493186582809225,0.5370067495339511,0.7724931659640673,1752.3954716981134,2.1400000000000006,0.6833333333333332,7.666666666666667,7.333333333333333,0.5,9.333333333333334,2.6666666666666665,0.92,681.0,1.6666666666666667,1.6666666666666667,0.8536941815154505,0.7398809523809523,0.8333333333333334,0.29437229437229434,0.7068922911057803,0.6666666666666666,0.5488210245108215,0.8307203985627494,1878.3733333333332
Suecia,1514.77,1.0,15.62,Local,2026-06-15,2,1.9013636363636364,0.5181578947368422,5.2894736842105265,6.2894736842105265,2.0789473684210527,12.5,2.9473684210526314,0.9136842105263158,382.63157894736844,1.631578947368421,1.4210526315789473,0.5466821903562065,0.5398398256370393,0.6056145845039034,0.4641026371289529,0.5303663016237097,0.5039473684210526,0.5257956733232997,0.6945056772636731,1546.7515789473684,1.5566666666666666,0.41999999999999993,3.6666666666666665,3.6666666666666665,1.6666666666666667,10.333333333333334,3.3333333333333335,0.79,314.3333333333333,2.3333333333333335,2.3333333333333335,0.5026255464585782,0.4388888888888889,0.2977855477855478,0.7103174603174605,0.40849242683428794,0.6166666666666667,0.49558815326276084,0.6813724159045832,1490.4166666666667
